Frequency in Hz	Silk_92_LF Sound Reflection Factor continuous Re	Frequency in Hz	Silk_92_HF Sound Reflection Factor continuous Re	Frequency in Hz	Silk_92_LF Sound Reflection Factor continuous Im	Frequency in Hz	Silk_92_HF Sound Reflection Factor continuous Im	
759,375	0,723873496055603	1215,625	0,687566518783569	759,375	-0,127156466245651	1215,625	-0,00859237462282181	
762,5	0,722539663314819	1218,75	0,686640858650208	762,5	-0,127160757780075	1218,75	-0,0102508226409554	
765,625	0,721486032009125	1221,875	0,686783730983734	765,625	-0,126841366291046	1221,875	-0,0112724099308252	
768,75	0,719010829925537	1225	0,690117001533508	768,75	-0,126771003007889	1225	-0,0109149403870106	
771,875	0,719414353370667	1228,125	0,682860374450684	771,875	-0,129934102296829	1228,125	-0,0109693761914968	
775	0,721793651580811	1231,25	0,682355642318726	775	-0,127297252416611	1231,25	-0,00778937712311745	
778,125	0,717786252498627	1234,375	0,683049261569977	778,125	-0,125571087002754	1234,375	-0,00818622205406427	
781,25	0,720881342887878	1237,5	0,68560391664505	781,25	-0,127182841300964	1237,5	-0,0096953958272934	
784,375	0,721528172492981	1240,625	0,688314378261566	784,375	-0,130217179656029	1240,625	-0,0112090734764934	
787,5	0,716803133487701	1243,75	0,685877859592438	787,5	-0,129078701138496	1243,75	-0,0110327703878284	
790,625	0,720143914222717	1246,875	0,687560260295868	790,625	-0,127951115369797	1246,875	-0,0106534827500582	
793,75	0,719240427017212	1250	0,683703184127808	793,75	-0,126176208257675	1250	-0,0122686168178916	
796,875	0,719422996044159	1253,125	0,682642877101898	796,875	-0,128772750496864	1253,125	-0,0113226417452097	
800	0,719917953014374	1256,25	0,683257460594177	800	-0,12905977666378	1256,25	-0,00994029268622398	
803,125	0,71792083978653	1259,375	0,680733323097229	803,125	-0,12318516522646	1259,375	-0,00840767472982407	
806,25	0,720812916755676	1262,5	0,676776826381683	806,25	-0,124032445251942	1262,5	-0,0144949676468968	
809,375	0,722579061985016	1265,625	0,681550323963165	809,375	-0,125099360942841	1265,625	-0,0137822609394789	
812,5	0,720490157604218	1268,75	0,678843021392822	812,5	-0,127102971076965	1268,75	-0,0128138940781355	
815,625	0,719110250473022	1271,875	0,678370714187622	815,625	-0,127209424972534	1271,875	-0,0127177312970161	
818,75	0,723065912723541	1275	0,679917514324188	818,75	-0,127250909805298	1275	-0,0134255243465304	
821,875	0,719419777393341	1278,125	0,679068744182587	821,875	-0,12617926299572	1278,125	-0,0112219760194421	
825	0,71911746263504	1281,25	0,675936818122864	825	-0,128647103905678	1281,25	-0,0123439216986299	
828,125	0,718243360519409	1284,375	0,677691578865051	828,125	-0,130309358239174	1284,375	-0,0114376917481422	
831,25	0,715918898582459	1287,5	0,678210258483887	831,25	-0,129045486450195	1287,5	-0,0128443809226155	
834,375	0,71784770488739	1290,625	0,677758157253265	834,375	-0,126642167568207	1290,625	-0,0135862166061997	
837,5	0,719950914382935	1293,75	0,674967348575592	837,5	-0,124125622212887	1293,75	-0,0119307432323694	
840,625	0,720556378364563	1296,875	0,6725172996521	840,625	-0,125561520457268	1296,875	-0,0140848513692617	
843,75	0,722639381885529	1300	0,673876583576202	843,75	-0,129376530647278	1300	-0,0145996017381549	
846,875	0,725603103637695	1303,125	0,674418568611145	846,875	-0,129995301365852	1303,125	-0,0142488684505224	
850	0,721144258975983	1306,25	0,673303782939911	850	-0,131807804107666	1306,25	-0,0134985744953156	
853,125	0,720342218875885	1309,375	0,675555527210236	853,125	-0,131856381893158	1309,375	-0,015626884996891	
856,25	0,720726847648621	1312,5	0,676049888134003	856,25	-0,121512040495872	1312,5	-0,0152446134015918	
859,375	0,715130031108856	1315,625	0,67220276594162	859,375	-0,121535055339336	1315,625	-0,0158131066709757	
862,5	0,715800583362579	1318,75	0,670372605323792	862,5	-0,126371592283249	1318,75	-0,01421785261482	
865,625	0,720612049102783	1321,875	0,669957518577576	865,625	-0,126604467630386	1321,875	-0,0171740222722292	
868,75	0,721713364124298	1325	0,670785844326019	868,75	-0,128877848386765	1325	-0,0148202124983072	
871,875	0,723286211490631	1328,125	0,667118310928345	871,875	-0,129692628979683	1328,125	-0,0150864152237773	
875	0,722389698028564	1331,25	0,668215572834015	875	-0,128941506147385	1331,25	-0,0181305911391974	
